Player,Team,Venue,Category,Market,n,n_venue,mu_all,mu_blend,s2_blend,narrative_mult,mu_adj,s2_adj,p_base,p_final,Odds,Implied,Fair_Odds,EV_pct,Line,Model
R. Giles,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,12,0,0.25,0.25,0.3864,1.0,0.25,0.3864,0.180877,0.180877,1.72,0.581395,5.5286,-68.8892,1,NegBin
R. Giles,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,12,0,0.25,0.25,0.3864,1.0,0.25,0.3864,0.048372,0.048372,4.33,0.230947,20.6733,-79.0551,2,NegBin
A. Famewo,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,10,0,0.2,0.2,0.4,1.0,0.2,0.4,0.129449,0.129449,2.37,0.421941,7.725,-69.3205,1,NegBin
A. Famewo,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,10,0,0.2,0.2,0.4,1.0,0.2,0.4,0.042394,0.042394,8.0,0.125,23.588,-66.0845,2,NegBin
M. Jacob,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,3,0,0.0,0.01,0.02,1.0,0.01,0.02,0.006908,0.006908,1.72,0.581395,144.7701,-98.8119,1,NegBin
M. Jacob,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,3,0,0.0,0.01,0.02,1.0,0.01,0.02,0.001942,0.001942,4.0,0.25,514.9219,-99.2232,2,NegBin
O. McBurnie,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,28,0,1.0714,1.0714,1.254,1.0,1.0714,1.254,0.628185,0.628185,1.61,0.621118,1.5919,1.1378,1,NegBin
O. McBurnie,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,28,0,1.0714,1.0714,1.254,1.0,1.0714,1.254,0.287803,0.287803,4.0,0.25,3.4746,15.1211,2,NegBin
M. Belloumi,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,11,0,0.9091,0.9091,0.9191,1.0,0.9091,0.9191,0.595105,0.595105,1.83,0.546448,1.6804,8.9042,1,NegBin
M. Belloumi,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,11,0,0.9091,0.9091,0.9191,1.0,0.9091,0.9191,0.231023,0.231023,5.5,0.181818,4.3286,27.0628,2,NegBin
J. Gelhardt,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,21,0,0.5714,0.5714,0.5814,1.0,0.5714,0.5814,0.432484,0.432484,1.72,0.581395,2.3122,-25.6128,1,NegBin
J. Gelhardt,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,21,0,0.5714,0.5714,0.5814,1.0,0.5714,0.5814,0.113767,0.113767,4.5,0.222222,8.7899,-48.8051,2,NegBin
K. Joseph,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,20,0,0.5,0.5,0.5789,1.0,0.5,0.5789,0.37139,0.37139,1.61,0.621118,2.6926,-40.2062,1,NegBin
K. Joseph,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,20,0,0.5,0.5,0.5789,1.0,0.5,0.5789,0.099945,0.099945,4.0,0.25,10.0055,-60.0221,2,NegBin
L. Millar,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,27,0,0.3704,0.3704,0.3804,1.0,0.3704,0.3804,0.306122,0.306122,2.1,0.47619,3.2667,-35.7145,1,NegBin
L. Millar,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,27,0,0.3704,0.3704,0.3804,1.0,0.3704,0.3804,0.055886,0.055886,7.0,0.142857,17.8936,-60.8798,2,NegBin
M. Crooks,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,20,0,0.3,0.3,0.31,1.0,0.3,0.31,0.255549,0.255549,2.25,0.444444,3.9131,-42.5014,1,NegBin
M. Crooks,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,20,0,0.3,0.3,0.31,1.0,0.3,0.31,0.039418,0.039418,9.0,0.111111,25.369,-64.5236,2,NegBin
L. Koumas,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,11,0,0.1818,0.1818,0.1918,1.0,0.1818,0.1918,0.162215,0.162215,2.1,0.47619,6.1646,-65.9348,1,NegBin
L. Koumas,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,11,0,0.1818,0.1818,0.1918,1.0,0.1818,0.1918,0.017832,0.017832,7.0,0.142857,56.0789,-87.5176,2,NegBin
C. Hughes,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,22,0,0.2273,0.2273,0.2792,1.0,0.2273,0.2792,0.185094,0.185094,5.0,0.2,5.4027,-7.453,1,NegBin
R. Slater,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,25,0,0.2,0.2,0.21,1.0,0.2,0.21,0.177298,0.177298,2.5,0.4,5.6402,-55.6756,1,NegBin
R. Slater,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,25,0,0.2,0.2,0.21,1.0,0.2,0.21,0.020592,0.020592,11.0,0.090909,48.5619,-77.3485,2,NegBin
A. Famewo,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,10,0,0.2,0.2,0.4,1.0,0.2,0.4,0.129449,0.129449,5.5,0.181818,7.725,-28.8028,1,NegBin
J. Egan,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,27,0,0.1852,0.1852,0.1952,1.0,0.1852,0.1952,0.165029,0.165029,5.5,0.181818,6.0595,-9.2341,1,NegBin
D. Gyabi,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,3,0,0.3333,0.3333,0.3433,1.0,0.3333,0.3433,0.279947,0.279947,3.25,0.307692,3.5721,-9.0171,1,NegBin
D. Gyabi,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,3,0,0.3333,0.3333,0.3433,1.0,0.3333,0.3433,0.046921,0.046921,15.0,0.066667,21.3125,-29.6188,2,NegBin
P. James Coleman McNair,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,10,0,0.2,0.2,0.21,1.0,0.2,0.21,0.177298,0.177298,3.75,0.266667,5.6402,-33.5134,1,NegBin
P. James Coleman McNair,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,10,0,0.2,0.2,0.21,1.0,0.2,0.21,0.020592,0.020592,21.0,0.047619,48.5619,-56.7562,2,NegBin
R. Giles,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,12,0,0.1667,0.1667,0.3333,1.0,0.1667,0.3333,0.109101,0.109101,3.5,0.285714,9.1658,-61.8146,1,NegBin
R. Giles,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,12,0,0.1667,0.1667,0.3333,1.0,0.1667,0.3333,0.03486,0.03486,19.0,0.052632,28.6864,-33.7665,2,NegBin
Y. Hirakawa,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,7,0,0.1429,0.1429,0.1529,1.0,0.1429,0.1529,0.12897,0.12897,2.25,0.444444,7.7537,-70.9817,1,NegBin
Y. Hirakawa,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,7,0,0.1429,0.1429,0.1529,1.0,0.1429,0.1529,0.012678,0.012678,9.0,0.111111,78.8791,-88.5901,2,NegBin
S. Ajayi,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,12,0,0.0833,0.0833,0.0933,1.0,0.0833,0.0933,0.075683,0.075683,5.5,0.181818,13.213,-58.3742,1,NegBin
K. Dowell,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,6,0,0.1667,0.1667,0.1767,1.0,0.1667,0.1767,0.149438,0.149438,2.25,0.444444,6.6917,-66.3764,1,NegBin
K. Dowell,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,6,0,0.1667,0.1667,0.1767,1.0,0.1667,0.1767,0.015702,0.015702,9.0,0.111111,63.6864,-85.8683,2,NegBin
J. Lundstram,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,16,0,0.0625,0.0625,0.0725,1.0,0.0625,0.0725,0.056328,0.056328,3.25,0.307692,17.7532,-81.6934,1,NegBin
J. Lundstram,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,16,0,0.0625,0.0625,0.0725,1.0,0.0625,0.0725,0.005484,0.005484,15.0,0.066667,182.364,-91.7747,2,NegBin
L. Coyle,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,28,0,0.0357,0.0357,0.0457,1.0,0.0357,0.0457,0.030997,0.030997,5.0,0.2,32.2615,-84.5017,1,NegBin
