"Player","Category","Market","Odds","Team","League"
"M. Belloumi","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"A. Hadziahmetovic","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
"A. Hadziahmetovic","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"J. Egan","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.25","hull-city","championship"
"J. Egan","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.20","hull-city","championship"
"K. Joseph","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.25","hull-city","championship"
"K. Joseph","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.20","hull-city","championship"
"O. McBurnie","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.50","hull-city","championship"
"O. McBurnie","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","3.25","hull-city","championship"
"L. Koumas","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.14","hull-city","championship"
"L. Koumas","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.72","hull-city","championship"
"P. James Coleman McNair","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.22","hull-city","championship"
"P. James Coleman McNair","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.00","hull-city","championship"
"R. Giles","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.11","hull-city","championship"
"R. Giles","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.53","hull-city","championship"
"D. Gyabi","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.05","hull-city","championship"
"D. Gyabi","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.22","hull-city","championship"
"C. McCarthy","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.14","hull-city","championship"
"C. McCarthy","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.72","hull-city","championship"
"T. Collyer","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
"T. Collyer","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"K. Dowell","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.08","hull-city","championship"
"K. Dowell","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.44","hull-city","championship"
"E. Matazo","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.08","hull-city","championship"
"E. Matazo","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.44","hull-city","championship"
"M. Crooks","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.10","hull-city","championship"
"M. Crooks","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.44","hull-city","championship"
"O. McBurnie","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.14","hull-city","championship"
"O. McBurnie","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.66","hull-city","championship"
"C. Hughes","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"C. Hughes","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"J. Gelhardt","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"J. Gelhardt","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"T. Collyer","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.22","hull-city","championship"
"T. Collyer","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.90","hull-city","championship"
"L. Coyle","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"L. Coyle","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"K. Joseph","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"K. Joseph","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"L. Koumas","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.12","hull-city","championship"
"L. Koumas","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.61","hull-city","championship"
"M. Belloumi","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.28","hull-city","championship"
"M. Belloumi","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.25","hull-city","championship"
"A. Famewo","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","hull-city","championship"
"A. Famewo","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","hull-city","championship"
"R. Slater","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"R. Slater","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"P. James Coleman McNair","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.83","hull-city","championship"
"P. James Coleman McNair","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.50","hull-city","championship"
"A. Hadziahmetovic","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.28","hull-city","championship"
"A. Hadziahmetovic","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.25","hull-city","championship"
"Y. Hirakawa","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.61","hull-city","championship"
"Y. Hirakawa","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.75","hull-city","championship"
"J. Lundstram","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"J. Lundstram","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"J. Egan","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.53","hull-city","championship"
"J. Egan","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.50","hull-city","championship"
"D. Gyabi","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"D. Gyabi","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"M. Jacob","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
