Bookmaker,Market,Context,Player_Team,Label,Column_Header,Odds
"Bet365","THROW INS","Both Teams Combined","","30.5 Throw Ins","Under","17.00"
"Bet365","THROW INS","Both Teams Combined","","31.5 Throw Ins","Over","1.04"
"Bet365","THROW INS","Both Teams Combined","","31.5 Throw Ins","Under","13.00"
"Bet365","THROW INS","Both Teams Combined","","32.5 Throw Ins","Over","1.05"
"Bet365","THROW INS","Both Teams Combined","","32.5 Throw Ins","Under","11.00"
"Bet365","THROW INS","Both Teams Combined","","33.5 Throw Ins","Over","1.071"
"Bet365","THROW INS","Both Teams Combined","","33.5 Throw Ins","Under","9.00"
"Bet365","THROW INS","Both Teams Combined","","34.5 Throw Ins","Over","1.10"
"Bet365","THROW INS","Both Teams Combined","","34.5 Throw Ins","Under","7.00"
"Bet365","THROW INS","Both Teams Combined","","35.5 Throw Ins","Over","1.14"
"Bet365","THROW INS","Both Teams Combined","","35.5 Throw Ins","Under","5.50"
"Bet365","THROW INS","Both Teams Combined","","36.5 Throw Ins","Over","1.18"
"Bet365","THROW INS","Both Teams Combined","","36.5 Throw Ins","Under","4.50"
"Bet365","THROW INS","Both Teams Combined","","37.5 Throw Ins","Over","1.22"
"Bet365","THROW INS","Both Teams Combined","","37.5 Throw Ins","Under","4.00"
"Bet365","THROW INS","Both Teams Combined","","38.5 Throw Ins","Over","1.30"
"Bet365","THROW INS","Both Teams Combined","","38.5 Throw Ins","Under","3.40"
"Bet365","THROW INS","Both Teams Combined","","39.5 Throw Ins","Over","1.36"
"Bet365","THROW INS","Both Teams Combined","","39.5 Throw Ins","Under","3.00"
"Bet365","THROW INS","Both Teams Combined","","40.5 Throw Ins","Over","1.50"
"Bet365","THROW INS","Both Teams Combined","","40.5 Throw Ins","Under","2.50"
"Bet365","THROW INS","Both Teams Combined","","41.5 Throw Ins","Over","1.57"
"Bet365","THROW INS","Both Teams Combined","","41.5 Throw Ins","Under","2.25"
"Bet365","THROW INS","Both Teams Combined","","42.5 Throw Ins","Over","1.72"
"Bet365","THROW INS","Both Teams Combined","","42.5 Throw Ins","Under","2.00"
"Bet365","THROW INS","Both Teams Combined","","43.5 Throw Ins","Over","1.83"
"Bet365","THROW INS","Both Teams Combined","","43.5 Throw Ins","Under","1.83"
"Bet365","THROW INS","Both Teams Combined","","44.5 Throw Ins","Over","2.10"
"Bet365","THROW INS","Both Teams Combined","","44.5 Throw Ins","Under","1.66"
"Bet365","THROW INS","Both Teams Combined","","45.5 Throw Ins","Over","2.37"
"Bet365","THROW INS","Both Teams Combined","","45.5 Throw Ins","Under","1.53"
"Bet365","THROW INS","Both Teams Combined","","46.5 Throw Ins","Over","2.62"
"Bet365","THROW INS","Both Teams Combined","","46.5 Throw Ins","Under","1.44"
"Bet365","THROW INS","Both Teams Combined","","47.5 Throw Ins","Over","3.00"
"Bet365","THROW INS","Both Teams Combined","","47.5 Throw Ins","Under","1.36"
"Bet365","THROW INS","Both Teams Combined","","48.5 Throw Ins","Over","3.50"
"Bet365","THROW INS","Both Teams Combined","","48.5 Throw Ins","Under","1.28"
"Bet365","THROW INS","Both Teams Combined","","49.5 Throw Ins","Over","4.00"
"Bet365","THROW INS","Both Teams Combined","","49.5 Throw Ins","Under","1.22"
"Bet365","THROW INS","Both Teams Combined","","50.5 Throw Ins","Over","4.50"
"Bet365","THROW INS","Both Teams Combined","","50.5 Throw Ins","Under","1.18"
"Bet365","THROW INS","Both Teams Combined","","51.5 Throw Ins","Over","5.50"
