Bookmaker,Market,Context,Stat,Label,Side,Line,Odds,Implied,n,mu_emp,s2_emp,mu_prior,s2_prior,mu_post,s2_post,Model,p_final,Fair_Odds,EV_pct,Expr,Source,Params
Bet365,CORNERS,Both Teams Combined,Corners,6 Corners,Over,6.0,1.071,0.9337068160597572,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.8577923075504446,1.1657833617739601,-8.130443861347391,P(Over 6) = P(X ≥ 7) = 1-CDF(6),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,6 Corners,Exactly,6.0,15.0,0.06666666666666667,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.061236409101014994,16.330154146537392,-8.145386348477512,P(Exactly 6) = PMF(6),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,6 Corners,Under,6.0,15.0,0.06666666666666667,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.08097128334854048,12.350057435739348,21.456925022810715,P(Under 6) = P(X ≤ 5) = CDF(5),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,7 Corners,Over,7.0,1.14,0.8771929824561404,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.7768518397253643,1.2872467423820788,-11.438890271308477,P(Over 7) = P(X ≥ 8) = 1-CDF(7),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,7 Corners,Exactly,7.0,11.0,0.09090909090909091,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.08094046782508005,12.35475932954939,-10.965485392411944,P(Exactly 7) = PMF(7),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,7 Corners,Under,7.0,9.0,0.1111111111111111,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.14220769244955545,7.031968403219288,27.9869232045999,P(Under 7) = P(X ≤ 6) = CDF(6),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,8 Corners,Over,8.0,1.28,0.78125,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.6804281076514274,1.4696629794609901,-12.905202220617296,P(Over 8) = P(X ≥ 9) = 1-CDF(8),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,8 Corners,Exactly,8.0,9.5,0.10526315789473684,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.09642373207393719,10.370890842860195,-8.397454529759674,P(Exactly 8) = PMF(8),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,8 Corners,Under,8.0,5.5,0.18181818181818182,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.22314816027463563,4.481327557302143,22.731488151049597,P(Under 8) = P(X ≤ 7) = CDF(7),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,9 Corners,Over,9.0,1.5,0.6666666666666666,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.5753446690414079,1.7380885820426875,-13.698299643788815,P(Over 9) = P(X ≥ 10) = 1-CDF(9),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
